Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23,28.070000,29.420000,27.510000,29.010000,29.010000,3456900
2021-04-26,29.110001,29.700001,28.230000,29.490000,29.490000,2728700
2021-04-27,29.540001,29.760000,28.760000,29.000000,29.000000,2030400
2021-04-28,28.219999,28.700001,27.440001,27.910000,27.910000,3310000
2021-04-29,28.209999,28.680000,26.860001,27.139999,27.139999,3103900
2021-04-30,26.790001,26.870001,25.580000,25.690001,25.690001,3662100
2021-05-03,25.860001,26.209999,24.610001,24.860001,24.860001,5091700
2021-05-04,24.389999,24.450001,22.610001,23.000000,23.000000,7412600
2021-05-05,21.059999,24.590000,20.650000,23.280001,23.280001,11712300
2021-05-06,23.080000,23.620001,21.770000,22.559999,22.559999,4748600
2021-05-07,23.059999,23.959999,22.610001,23.370001,23.370001,3153300
2021-05-10,23.150000,23.170000,21.360001,21.440001,21.440001,4136700
2021-05-11,20.000000,22.549999,19.750000,22.260000,22.260000,4974700
2021-05-12,21.610001,22.500000,21.170000,21.250000,21.250000,2513800
2021-05-13,21.610001,21.920000,20.209999,20.910000,20.910000,2800700
2021-05-14,21.309999,22.330000,21.200001,22.240000,22.240000,2708400
2021-05-17,22.299999,22.400000,21.170000,21.950001,21.950001,2731200
2021-05-18,22.059999,22.910000,21.549999,22.200001,22.200001,3147200
2021-05-19,21.549999,23.370001,21.299999,23.059999,23.059999,3815700
2021-05-20,23.410000,24.330000,23.299999,23.820000,23.820000,3318700
2021-05-21,24.100000,24.209999,23.370001,23.540001,23.540001,2459600
2021-05-24,23.910000,23.910000,23.010000,23.440001,23.440001,1935600
2021-05-25,23.570000,23.740000,22.459999,22.670000,22.670000,3030100
2021-05-26,22.830000,23.719999,22.690001,23.540001,23.540001,2410600
2021-05-27,23.590000,23.900000,23.309999,23.760000,23.760000,2287800
2021-05-28,23.980000,24.490000,23.320000,23.389999,23.389999,2249500
2021-06-01,23.959999,24.150000,22.760000,23.190001,23.190001,2555300
2021-06-02,23.209999,24.350000,22.910000,24.260000,24.260000,3757000
2021-06-03,23.910000,24.230000,22.510000,22.549999,22.549999,4322800
2021-06-04,22.850000,23.900000,22.580000,22.840000,22.840000,2818800
